Time,numTrans
2/9/12 0:00,7259
2/11/12 0:00,7624
2/13/12 0:00,7514
2/15/12 0:00,9511
2/17/12 0:00,7128
2/19/12 0:00,5932
2/21/12 0:00,6348
2/23/12 0:00,7881
2/25/12 0:00,6588
2/27/12 0:00,6475
2/29/12 0:00,6825
3/2/12 0:00,7696
3/4/12 0:00,6017
3/6/12 0:00,6713
3/8/12 0:00,6635
3/10/12 0:00,6054
3/12/12 0:00,5728
3/14/12 0:00,7096
3/16/12 0:00,6706
3/18/12 0:00,5745
3/20/12 0:00,6604
3/22/12 0:00,6756
3/24/12 0:00,6461
3/26/12 0:00,6469
3/28/12 0:00,7134
3/30/12 0:00,7174
4/1/12 0:00,5619
4/3/12 0:00,7539
4/5/12 0:00,6977
4/7/12 0:00,6152
4/9/12 0:00,6045
4/11/12 0:00,7485
4/13/12 0:00,7549
4/15/12 0:00,7313
4/17/12 0:00,8354
4/19/12 0:00,8023
4/21/12 0:00,7770
4/23/12 0:00,6845
4/25/12 0:00,7746
4/27/12 0:00,7066
4/29/12 0:00,8050
5/1/12 0:00,10070
5/3/12 0:00,12283
5/5/12 0:00,13590
5/7/12 0:00,16283
5/9/12 0:00,18865
5/11/12 0:00,14196
5/13/12 0:00,14084
5/15/12 0:00,20817
5/17/12 0:00,14892
5/19/12 0:00,38132
5/21/12 0:00,29133
5/23/12 0:00,26784
5/25/12 0:00,29007
5/27/12 0:00,22251
5/29/12 0:00,31160
5/31/12 0:00,20951
6/2/12 0:00,18570
6/4/12 0:00,44984
6/6/12 0:00,18275
6/8/12 0:00,26974
6/10/12 0:00,39328
6/12/12 0:00,20796
6/14/12 0:00,56997
6/16/12 0:00,49313
6/18/12 0:00,39028
6/20/12 0:00,33475
6/22/12 0:00,25550
6/24/12 0:00,21880
6/26/12 0:00,32547
6/28/12 0:00,27315
6/30/12 0:00,23608
7/2/12 0:00,25272
7/4/12 0:00,21992
7/6/12 0:00,21962
7/8/12 0:00,21697
7/10/12 0:00,33442
7/12/12 0:00,26493
7/14/12 0:00,25417
7/16/12 0:00,30561
7/18/12 0:00,30733
7/20/12 0:00,35383
7/22/12 0:00,29975
7/24/12 0:00,29945
7/26/12 0:00,30652
7/28/12 0:00,33187
7/30/12 0:00,38204
8/1/12 0:00,34163
8/3/12 0:00,29356
8/5/12 0:00,32003
8/7/12 0:00,28636
8/9/12 0:00,33117
8/11/12 0:00,29979
8/13/12 0:00,49678
8/15/12 0:00,49070
8/17/12 0:00,40897
8/19/12 0:00,35022
8/21/12 0:00,40494
8/23/12 0:00,31765
8/25/12 0:00,35491
8/27/12 0:00,31308
